number,name,is_ans,name_object,date_norm,date_buckets_2,author_norm,address,district,district_norm,protection_category_norm,base,id_object
1,,0,Здание Консисторского управления Могилевской Римско-католической архиепархии с костелом Успения Девы Марии (Духовная семинария Римско-католической архиепархии),1870,1850-1899,В.И. Собольщиков;Е.С. Воротилов;Е.С. Воротилов;С.И. Садиков;А.Д. Фиалковский;Л.П. Шишко,"1-я Красноармейская ул., 11, лит. А, Б",Адмиралтейский,1,1,Распоряжение КГИОП № 10-22 от 21.07.2009,669
2,,0,Здание манежа (экзерциргауса) лейб-гвардии Измайловского полка,1795,1750-1799,Кварнеги Дж,"1-я Красноармейская ул., 13; Измайловский пр., 2-а",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,1066
3,,0,"Дом, где в начале 1895 г. Ленин В.И. встречался с петербургскими социал-демократами",NA,,,"1-я Красноармейская ул., 22",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,1
4,,0,Трансформаторная подстанция,1906,1900-1949,Горенберг Л.Б,"11-я Красноармейская ул., 28",Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 963 от 05.12.1988,2
5,,0,Дом А.Н. Васильева,1912,1900-1949,Г.И. Котенков,"12-я Красноармейская ул., 3, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 229-рп от 28.09.2021; Распоряжение КГИОП № 446-рп от 10.04.2024,697
6,,0,Манеж графа Г.И. Рибопьера (Здание Санкт-Петербургского атлетического общества),1887,1850-1899,А.А. Степанов;М.С. Шуцман,"2-я Красноармейская ул., 12",Адмиралтейский,1,1,Распоряжение КГИОП № 10-26 от 15.09.2009,675
7,,0,Особняк и доходный дом Н.Г. Кудрявцева,1878,1850-1899,Н.Г. Кудрявцев,"4-я Красноармейская ул., 12/11, лит. А",Адмиралтейский,1,2,Приказ председателя КГИОП № 15 от 20.02.2001,677
8,,0,Дом Закуриной,1855,1850-1899,Барч Г.М,"5-я Красноармейская ул., 19",Адмиралтейский,1,1,Закон Санкт-Петербурга № 141-47 от 02.07.1997,3
9,,0,Дом З.Н. Левина,1850,1850-1899,А.И. Зазерский,"6-я Красноармейская ул., 15, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 227-рп от 28.09.2021; Распоряжение КГИОП № 445-рп от 10.04.2024,685
10,,0,Дом Е.Е. Глухарева,1905,1900-1949,Л.М. Харламов,"7-я Красноармейская ул., 7, лит. А",Адмиралтейский,1,1,Распоряжение КГИОП № 228-рп от 28.09.2021; Распоряжение КГИОП № 669-рп от 01.08.2023,687
11,,0,"Дом, где в 1901-1907 гг. жил шахматист Чигорин М.И",NA,,,"9-я Красноармейская ул., 15",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,5
12,,0,Адмиралтейский бульвар,1800,1800-1849,,Адмиралтейская наб,Адмиралтейский,1,1,Решение исполкома Ленгорсовета № 849 от 31.10.1988,6
13,,0,Набережная Адмиралтейская,2000,2000-2049,,"Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10183
14,Набережная Адмиралтейская,1,Спуск Дворцовый со львами и пристанью,1820,1800-1849,Готман А.Д.;Шарлемань Л.И.;Пшеницкий А.П,"Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10184
15,Набережная Адмиралтейская,1,Спуск Петровский с вазами и пристанью,1820,1800-1849,Готман А.Д.;Карлович В.М.;Селянинов С.С,"Адмиралтейская наб. - левый берег р. Большая Нева, от Дворцового моста до Декабристов пл",Адмиралтейский,1,3,Постановление Правительства РФ № 527 от 10.07.2001,10185
